243	1028	11001007	2017-11-30	86400	6	10
71	1011	15581009	2017-11-30	10120	4	5
13	1065	10701010	2017-11-02	144448	4	5
15	1045	10701010	2017-11-02	56585	5	15
28	1060	10801101	2017-11-02	19512	6	15
35	1016	11001007	2017-11-02	35950	5	8
36	1005	11001007	2017-11-02	52250	5	9
38	1027	11001007	2017-11-02	54000	5	11
57	1049	17821103	2017-11-02	59532	4	18
75	1067	15581009	2017-11-02	6225	3	10
90	1012	11101002	2017-11-02	26325	5	15
91	1003	17001008	2017-11-02	46040	4	3
92	1002	17001008	2017-11-02	46800	4	9
94	1051	17001008	2017-11-02	32140	4	11
106	1006	15581009	2017-11-02	45480	4	5
117	1015	17001003	2017-11-02	114120	6	5
143	1069	17771102	2017-11-02	5220	6	5
149	1010	17771102	2017-11-02	15480	6	4
156	1001	17771102	2017-11-02	37250	5	10
172	1021	16451004	2017-11-02	12450	5	8
181	1037	14821005	2017-11-02	37940	7	5
183	1034	14821005	2017-11-02	64162	7	9
193	1001	14821005	2017-11-02	37250	5	12
214	1007	10701010	2017-11-02	79900	5	5
221	1007	16451004	2017-11-02	95880	6	4
222	1008	16451004	2017-11-02	71940	6	7
223	1017	16451004	2017-11-02	46920	6	5
229	1032	14561110	2017-11-02	343500	5	3
230	1043	14561110	2017-11-02	13900	5	5
265	1052	10701010	2017-11-02	13630	5	4
268	1057	15581009	2017-11-02	5045	5	15
277	1058	17821103	2017-11-02	6114	6	5
283	1014	11101002	2017-11-02	22332	6	10
287	1007	17001008	2017-11-02	79900	5	5
291	1071	14561110	2017-11-02	18640	5	5
297	1013	15581009	2017-11-02	35172	4	5
306	1046	14561110	2017-11-02	39246	3	3
32	1046	11001007	2017-11-03	52328	4	1
81	1018	14561110	2017-11-03	15000	3	8
98	1062	10801101	2017-11-03	115805	5	5
128	1049	17001003	2017-11-03	74415	5	5
142	1070	17771102	2017-11-03	6366	6	10
144	1060	17771102	2017-11-03	22764	7	10
190	1065	14821005	2017-11-03	180560	5	5
245	1043	10801101	2017-11-03	16680	6	1
253	1052	15581009	2017-11-03	13630	5	10
254	1056	15581009	2017-11-03	2740	5	1
269	1058	14561110	2017-11-03	5095	5	15
292	1066	14561110	2017-11-03	207905	5	3
48	1024	14561110	2017-11-04	125200	4	2
204	1022	10701010	2017-11-04	14950	5	5
231	1030	14561110	2017-11-04	113350	5	10
234	1028	14821005	2017-11-04	100800	7	10
236	1030	14821005	2017-11-04	158690	7	10
305	1018	14561110	2017-11-04	15000	3	7
29	1013	11001007	2017-11-05	43965	5	11
52	1015	14561110	2017-11-05	76080	4	4
77	1011	14821005	2017-11-05	12650	5	9
84	1020	14561110	2017-11-05	8970	3	10
160	1015	16451004	2017-11-05	114120	6	5
196	1020	14821005	2017-11-05	14950	5	5
218	1014	11101002	2017-11-05	22332	6	5
224	1013	13781006	2017-11-05	35172	4	5
280	1009	15581009	2017-11-05	63920	4	8
301	1007	17821103	2017-11-05	79900	5	10
10	1002	10701010	2017-11-06	46800	4	1
