1001	1	노트북5	745000	650000	true	20503005
1002	1	Odyssey	1170000	900000	true	20503005
1003	1	노트북9	1151000	852000	true	20503005
1004	1	울트라PX	597000	332000	true	20703003
1005	1	그램14ZD	1045000	835000	true	20703003
1006	1	그램15ZD	1137000	900000	true	20703003
1007	1	맥북프로	1598000	1140000	true	20811205
1008	1	맥북에어	1199000	855000	true	20811205
1009	1	맥북프로	1598000	900000	true	20811205
1010	2	G패드3	258000	189000	true	20503005
1011	2	겔럭시탭A	253000	175000	true	20703003
1012	2	겔럭시탭S3	526590	342000	true	20703003
1013	2	아이패드 프로	879320	600000	true	20811205
1014	2	아이패드	372280	284000	true	20811205
1015	3	아이맥	1902000	1500000	true	20811205
1016	3	24v570-GR31K	719000	6500000	true	20703003
1017	3	24v570-GR51K	782000	7000000	true	20811205
1018	3	DM400S6A-HOME24H	500000	300000	true	20503005
1019	3	DM500T7A-A59	1102000	800000	true	20503005
1020	4	삼성32형커브드	299000	199800	true	20811205
1021	4	삼성LED28형	249000	159200	true	20811205
1022	4	LG전자31형	299000	168000	true	20703003
1023	4	울트라와이드커브드	1290000	940000	true	20703003
1024	5	6D	3130000	2540000	true	21300001
1025	5	5D	5810000	4140000	true	21300001
1026	5	200D	1560000	1145000	true	21300001
1027	5	80D	1080000	754000	true	21300001
1028	5	D750	1440000	954000	true	21652203
1029	5	D850	6000000	4847000	true	21652203
1030	5	D810	2267000	1971500	true	21652203
1031	5	D500	1705000	1379000	true	21652203
1032	5	D5	6870000	5754000	true	21652203
1033	5	알파A99	4745000	3908000	true	21102001
1034	5	알파A77	916600	704000	true	21102001
1035	5	알파A57	499180	2859000	true	21102001
1036	6	A9	7657500	5754000	true	21102001
1037	6	A6000	542000	393300	true	21102001
1038	6	A7	1230000	884000	true	21102001
1039	6	M100	746960	431000	true	21300001
1040	6	M6	678000	510800	true	21300001
1041	6	M10	430000	281100	true	21300001
1042	6	J5	335330	215100	true	21652203
1043	6	J1	278000	181200	true	21652203
1044	6	V2	818000	630000	true	21652203
1045	7	디오스	1131700	814000	true	20703003
1046	7	지펠	1308250	924000	true	20503005
1047	7	클라쎄	1064500	732200	true	21700002
1048	8	트롬	775620	575820	true	20703003
1049	8	플렉스워시	1488360	924000	true	20503005
1050	8	통돌이	595370	317520	true	20703003
1051	8	버블샷	803540	405000	true	20503005
1052	8	공기방울	272650	122200	true	21700002
1053	9	MS23F301TAW	83660	43200	true	20703003
1054	9	ML32B	504350	398000	true	20503005
1055	9	MW20MD	83520	54000	true	20503005
1056	9	KR-L202BMP	54810	30200	true	21700002
1057	10	C40	100910	65200	true	21702012
1058	10	C30	101910	69200	true	21702012
1059	10	C30	101910	69200	true	21722051
1060	10	프란시스X7	325260	218200	true	21722051
1061	10	프란시스X3	219450	150000	true	21722051
1062	11	OLED65C7P	2316180	1810500	true	20703003
1063	11	OLED55B7F	2082220	1500000	true	20703003
1064	11	QN49Q7FAMF	1273800	875200	true	20503005
1065	11	QN65Q7FAMF	3611250	2998500	true	20503005
1066	11	브라비아	4158100	3457000	true	21102001
1067	12	HW-MS651	207520	135200	true	20503005
1068	12	SJ9	997750	678000	true	20703003
1069	12	BZ-T3400	87000	39990	true	21003002
1070	12	Milwaukee	106130	71000	true	21003002
1071	12	GTK-XB7	372884	197500	true	21102001
1072	1	테스트1	90	100	true	20503005
1073	1	테스트2	80	100	true	20703003
1074	3	테스트3	700	1000	true	21000204
1075	11	테스트4	900	1000	true	20503005
